"","x"
"1","LEF1"
"2","BCL11B"
"3","PAX5"
"4","BACH2"
"5","ARHGAP24"
"6","PRDM16"
"7","EBF1"
"8","CD247"
"9","ADAM19"
"10","BCL11A"
"11","BLK"
"12","GNG7"
"13","LINC01619"
"14","MS4A1"
"15","PLEKHG1"
"16","PRKCH"
"17","ZEB2"
"18","BANK1"
"19","CIITA"
"20","GSE1"
"21","TCF7L2"
"22","TGFBR3"
"23","CD22"
"24","ETS1"
"25","PITPNC1"
"26","RBM47"
"27","VPREB1"
"28","ADAM28"
"29","FYN"
"30","IRF8"
"31","NFIA"
"32","RHOH"
"33","SERINC5"
"34","SNX29"
"35","AFF3"
"36","ERG"
"37","LIMCH1"
"38","STEAP1B"
"39","WDFY4"
"40","BLNK"
"41","BMP2K"
"42","CCR7"
"43","FNDC3B"
"44","GATA2"
"45","MEIS1"
"46","PRKCA"
"47","TCF7"
"48","TNRC6C"
"49","TSHZ2"
"50","CALN1"
"51","CCL5"
"52","DOCK9"
"53","GRAP2"
"54","IL7R"
"55","JAZF1"
"56","MAMDC2"
"57","MEF2C"
"58","PLD1"
"59","VIM"
"60","AOAH"
"61","CD5"
"62","CD6"
"63","CDC14A"
"64","CLIP2"
"65","DAPK1"
"66","DENND5B"
"67","FCHSD2"
"68","FOXP1"
"69","GRB10"
"70","KLHL14"
"71","MECOM"
"72","MTSS1"
"73","NCAM1"
"74","PLCL1"
"75","PPP2R5C"
"76","PRKAR2B"
"77","PROM1"
"78","RALGPS2"
"79","RUBCNL"
"80","SAMHD1"
"81","STXBP6"
"82","THEMIS"
"83","TRABD2A"
"84","ZMIZ1"
"85","CNRIP1"
"86","E2F3"
"87","EREG"
"88","FAM30A"
"89","FCRL1"
"90","FOXO1"
"91","GAS7"
"92","HLA-DQA1"
"93","HLF"
"94","INPP4B"
"95","ITGA9-AS1"
"96","KLF4"
"97","MALAT1"
"98","MAP3K1"
"99","MEG3"
"100","MGAT5"
"101","MSI2"
"102","NCALD"
"103","PALM2-AKAP2"
"104","RCAN3"
"105","SIPA1L3"
"106","STRBP"
"107","SWAP70"
"108","ZNF521"
"109","AAK1"
"110","ABCC4"
"111","AC010880.1"
"112","ACOT11"
"113","CBFA2T3"
"114","CCND3"
"115","CD74"
"116","CD99"
"117","CHL1"
"118","FCER2"
"119","IGLL1"
"120","IL18R1"
"121","ITK"
"122","LINC00926"
"123","LTBP1"
"124","LYN"
"125","MBOAT2"
"126","MICAL3"
"127","NKG7"
"128","NLK"
"129","OXNAD1"
"130","PIEZO2"
"131","PPM1H"
"132","RNF220"
"133","RUNX3"
"134","RYR3"
"135","SLC24A3"
"136","SLC24A4"
"137","SLFN12L"
"138","SMCHD1"
"139","STAT4"
"140","SYK"
"141","TBXAS1"
"142","TCL1A"
"143","TFRC"
"144","TNFAIP3"
"145","TNS1"
"146","TNS3"
"147","TRIO"
"148","ANK1"
"149","ANO2"
"150","ATXN1"
"151","B3GNTL1"
"152","BCL2"
"153","CACNB2"
"154","CARD11"
"155","CD36"
"156","CD3D"
"157","CD3E"
"158","CD69"
"159","CDK14"
"160","CLEC7A"
"161","CRHBP"
"162","CTDSPL"
"163","CUX1"
"164","DNAJC6"
"165","EHBP1"
"166","ELMO1"
"167","EMID1"
"168","FCER1A"
"169","FGD5"
"170","FLT3"
"171","FRMD4B"
"172","GNA15"
"173","GNLY"
"174","GPR183"
"175","GRK3"
"176","HIVEP2"
"177","HVCN1"
"178","ICOS"
"179","IKZF3"
"180","IL4R"
"181","KLF12"
"182","LRRC8C"
"183","MAML2"
"184","MAP7"
"185","NCOA3"
"186","NEGR1"
"187","NET1"
"188","NETO1"
"189","NFKB1"
"190","NPR3"
"191","PAG1"
"192","PDE3B"
"193","PRF1"
"194","PRKCQ-AS1"
"195","PYHIN1"
"196","RASA3"
"197","RBPMS"
"198","RNF24"
"199","SIRPB2"
"200","SKAP1"
"201","SLC25A6"
"202","SLC38A11"
"203","SMIM24"
"204","STOX2"
"205","TBC1D9"
"206","TC2N"
"207","TMEM170B"
"208","TTC7B"
"209","TWSG1"
"210","VWF"
"211","ZCCHC7"
"212","ZFP36L2"
"213","ADGRE2"
"214","ANGPT1"
"215","ARHGAP22"
"216","ARHGAP26"
"217","ARL4C"
"218","BAALC"
"219","C5AR1"
"220","CAT"
"221","CBX3"
"222","CD2"
"223","CD79A"
"224","CD79B"
"225","CD83"
"226","CHST11"
"227","COL19A1"
"228","DST"
"229","EGFL7"
"230","EML4"
"231","FAM49A"
"232","GAB2"
"233","GNG2"
"234","HCK"
"235","HLA-DRB1"
"236","HMGA2"
"237","HSPG2"
"238","IKZF2"
"239","IL12RB2"
"240","IL6ST"
"241","INPP4A"
"242","IRAK3"
"243","LINC01550"
"244","LPCAT2"
"245","LTB"
"246","MAN1C1"
"247","MCTP1"
"248","MED12L"
"249","MICAL2"
"250","MIR181A1HG"
